,ncomments,nlikes,labels,caption,engagement
10,0.11067171,0.260330836,"['flame', 'fire', 'roasting', 'wood', 'animal source foods']","Photo by @stevewinterphoto | On October 29th, the government of China revealed that it will allow commercial trade in tiger bone and rhino horn from farmed animals for use in traditional Chinese medicine research and clinical treatments.
Debbie Banks, Environmental Investigation Agency UK, Tiger Campaign Director says: “At a single stroke, China has shattered its reputation as a growing leader in conservation following its domestic ban on the sale of ivory at the start of the year. It is instead revealed as a sham, its international image in tatters and its credibility destroyed—and all for the sake of deeply questionable business sectors which serve only to drive consumer demand for the parts and products of endangered species. History will not judge the Government of China kindly or with respect for such a reactionary, ill-judged and damaging decision.”
China’s action stands in sharp contrast to the country’s moves to combat poaching in recent years. The country has had a 25-year-old ban in place preventing the import or export of these products. And the World Federation of Chinese Medicine Societies—the official group that dictates what can be used in traditional medicine—also removed rhino horn and tiger bone from its list of products approved for use on patients (though the market still existed for them).
This will further the trade in wild tigers, as the “wild tiger” will now be more valuable than farmed.
@natgeo @stevewinterphoto @wildaid @eia_news",1
11,0.19176983,0.687830813,"['surgeon', 'operating theater', 'service', 'medical', 'hospital']","There are some stories that defy telling. They are too complex, emotional, technical. They challenge our morality. They are unwieldy and deep. It is a unique breed of professional who can wrap their arms around such a story and tell it with intelligence and heart. This is both a thank you to @kurtmutchler, Senior Photo Editor for fighting for the tough frames and thank you my Photo Sister @maggiesteber, for sharing your relationship with the Stubblefield family. But also, a critical message to everyone who sees the story of Katie’s new Face—Please ACT— Sign your organ donor card, Listen to your loved ones who may have depression or trauma issues, Volunteer for the local Suicide Hotline, and finally—listen, truly listen to those living through the fragile times of life—our youth and our elders. Photo by @ljohnphoto",1
12,0.012408299,0.294617042,"['sea', 'coastal and oceanic landforms', 'body of water', 'ocean', 'shore', 'sky', 'horizon', 'coast', 'wave', 'water']","Photo by @simonnorfolkstudio | I was fortunate to travel to Socotra not just once, but twice. Here photographed, the astonishing white sand beach at Detwah Lagoon near Qalansia (Qalansiyah) ... Territorially part of Yemen,  Socotra (Arabic: سُقُطْرَى‎ Suquṭra), is an archipelago of four islands located in the Arabian Sea. The largest island, also known as Socotra, lies about 240km (150mi) east of the Horn of Africa and 380km (240mi) south of the Arabian Peninsula. As a consequence of its isolation, the island is home to a high number of endemic species – up to a third of its plant life is endemic. It has been described as ""the most alien-looking place on Earth”. In the 1990s, a team of United Nations biologists conducted a survey of the archipelago’s flora and fauna and counted nearly 700 species found nowhere else on earth; only New Zealand, Hawaii, New Caledonia, and the Galápagos Islands have more impressive numbers.

Follow  @simonnorfolkstudio for updates, outtakes, unpublished and archive material.

@simonnorfolkstudio @natgeo  #Socotra  #landscape  #soqotra  #documentaryphotography  #simonnorfolkstudio  #simonnorfolk  words: @tribaleye #documentary  #reportage  #Yemen  #arabiansea  #photojournalism  #journalism  #arabianpeninsular  #arabia   #simonnorfolkstudio  #simonnorfolk  #worldheritage  #beach  #surf",1
13,0.006189821,0.154813013,"['bird', 'seabird', 'albatross', 'water', 'sea', 'wave', 'ocean', 'fauna', 'beak', 'wind wave']","Photo by @pedromcbride | Sublime Soaring — the Albatross does not only boast the greatest wingspan of any bird in the world (up to 11 feet), it is also one of the best flyers using ocean winds to stay afloat for thousands of miles and days on end.  Sadly, these giants of the air are threatened — initially for their feathers, but now by plastic which inevitably ends up in the oceans and looks like albatross's favorite food, squid.  This beauty followed me years ago as we sailed toward Antarctica while getting blasted by wind and waves of the Drake Passage. This gentle giant soared past us as if the stormy seas and angry winds were just ripples. To see more, follow @pedromcbride. #albatross  #flight  #birds 
#gratitude",0
14,0.025876891,0.231440405,"['climbing', 'rock climbing', 'rock', 'sport climbing', 'adventure', 'tree', 'outdoor recreation', 'rock climbing equipment', 'outcrop', 'free climbing']","Photo by @jimmy_chin | Those of you that have seen @freesolofilm will likely never forget this moment...Those of you that haven’t will have to wait and see… Imagine climbing 2000 feet up the sheer face of El Capitan without a rope only to face the most difficult and tenuous climbing above. @alexhonnold stands on a small pedestal before the Boulder Problem and takes a moment to breathe. As today’s NYTimes Op Ed states: “The film is a drug. It causes your pupils to dilate, your palms to sweat, and your mind to boggle. Even as you know that Honnold is going to make it to the top, you can’t believe what you’re seeing — a young man, millimeters from extinction, transforming the unthinkable into the sublime. “Free Solo” is 97 minutes long and if you could hold your breath the whole time you probably would.” #FreeSolo  continues it’s expansion nationwide this weekend. Hit www.freesolofilm.com to find a theater near you. Hold on to your seats... Shot on assignment for @natgeo. To see more photography from #freesolo , follow @jimmy_chin #committed",1
15,0.006476387,0.132888708,"['bazaar', 'public space', 'marketplace', 'market', 'shopkeeper', 'city']","Photo by @tasneemalsultan | A woman sits at a local market in Riyadh, Saudi Arabia.",0
16,0.015780223,0.404854581,"['wildlife', 'lion', 'mammal', 'fauna', 'terrestrial animal', 'masai lion', 'big cats', 'zoo', 'organism', 'cat like mammal']","Photo by @stevewinterphoto | If you are in San Antonio this Sunday please come to the Tobin Center for the Performing Arts at 4PM for my Nat Geo LIVE presentation “On the Trail of Big Cats""

Here is a mom and her cubs in the @africanparksnetwork @Zakouma_National_Park. Just 100 years ago there may have been as many as 500,000 lions which roamed the African continent but today there it is estimated that as few as 16,000 - 30,000 remain, and research by lion biologist Hans Bauer and colleagues suggests lions in much of west, east and central Africa will decline by 50% in the next two decades if something dramatic is not done! The biggest threats facing lions in Africa are poaching of their prey and retaliatory killings by farmers when lions eat their cattle! There is also an emerging threat of lions being used in Chinese medicine as tigers become rarer.  @wildaid ""When the buying stops the killing can too”

Poisonings and poaching are the main threats to lions across their East African range. Most lion populations in East, Central and West Africa are declining so the time to act is now. 
There are fewer than 20,000 lions left in Africa, down from 200,000 just 100 years ago - and their long-term future remains in question: they are threatened by habitat loss and fragmentation, lack of prey, unsustainable hunting and now poaching for their skins, bones, claws and other body parts. But projects like these show how with determination, political will, community support, and simply envisioning a better future, we can bring this species back as well as protect our last wild landscapes, benefiting both wildlife and people, and creating a better existence for all. To learn more about this project and other inspiring conservation stories from across Africa, please follow @AfricanParksNetwork
#follow  me @stevewinterphoto to see more images from my work with @natgeo and Thanks!! @stevewinterphoto @natgeo @natgeochannel @natgeowild @thephotosociety @africanparksnetwork  #lion   #lionstrong  #livingwithlions   #bigcatsforlife  #startwith1thing",1
17,1,0.889570209,"['rhinoceros', 'mammal', 'wildlife', 'terrestrial animal', 'fauna', 'horn', 'eye', 'snout', 'organism', 'grass']","Photo by @brentstirton | This #blackrhino  lost its horn to #poachers  in #Zimbabwe . They left the animal for dead with multiple AK47 bullet wounds. This bull recovered briefly and walked through the bush for nearly a week in unimaginable pain and confusion. There were maggots breeding in his face when he finally died. We all lost another severely endangered black rhino bull to this incident, further depleting the gene pool of a magnificent species that we are losing. It’s no secret that rhinos are severely endangered today, yet China recently declared that it will once again allow trading of rhino and tiger parts domestically after a 25-year ban. They say this is to accommodate “farmed animals” bred in China. There are many reports on those farms, none of them good. Issues of severe inbreeding, starvation, and other abuses are common. There are also many reports that wild animals fetch higher prices on the Chinese market. Any legalization of these animal products throws open large loopholes for the illegal trade, stimulating poaching against severely endangered animals in countries that feed the illegal wildlife trade flowing into China. This is a very disappointing decision on the part of #China , especially so soon after they agreed to ban their domestic #Ivory  trade.",1
18,0.006973101,0.085695597,"['fun', 'recreation', 'girl', 'leisure']","Photo by @edkashi @t_laffay and I travelled to Peru with support from a @natgeo explorer’s grant to continue our long-term exploration of this disease. .
Don Raphael Diaz is a 53-year-old construction worker who lives in Sullana with his wife and two kids. He has spent 3 days/week on dialysis for the past 5 years. His determination to continue working hard at his job, to be a pillar for his family, and beat the disease is an inspiration. Diaz says, “I want the best for [my children] until the very last moment of my life.” @insidenatgeo @everydayclimatechange @natgeoexpeditions .
.
.
#edkashi  #everydayclimatechange  #ECC  #climatechangeisreal  #climatechange  #climatecrisis  #actonclimate  #nationalgeographic  #natgeo  #natgeotravel  #natgeoadventure  #natgeoexpeditions  #natgeoexplorer  #photojournalism  #document  #documentary  #film  #documentaryfilm  #illness  #disease  #health  #healthcare  #dialysis  #international  #epidemic  #portrait",0
19,0.004556396,0.071651918,"['photograph', 'black', 'person', 'man', 'tree', 'sitting', 'darkness', 'photography', 'male', 'snapshot']","Photograph by @ ljohnphoto (Lynn Johnson) // #sponsored  by @lagunitasbeer // Patrick Anderson is pictured here at Wild Flour Bakery in Freestone, CA. He learned to love plants while drinking tea with his grandmother. Patrick, a believer in plants, is an educator at Emerald Pharms in Hopland, CA. Articulate and committed, he speaks reverently about the powerful cousins, hops and cannabis, as plants that are supportive of our health. // The combination of cannabis and craftsmanship is unleashing new innovations across industries, from food and beverage to skin products to medicine. Cannabis has always inspired the creativity behind Lagunitas' craft brews. Join the journey @lagunitasbeer.",0
20,0.031283433,0.177848687,"['sitting', 'human body', 'temple', 'human', 'religion', 'human behavior', 'girl']","Photo @hammond_robin | “Every single moment I remember this,” says 25 year old Rohingya refugee Rohima Khatun recounting the events of a year ago. Her story is horrifically typical. After encircling her village, the Myanmar military started burning houses. They went house to house and shot the men, including Rohima’s husband. Five months pregnant and in shock, Rohima held her four-year-old to her chest, and her screaming six-year-old to her side. A soldier marched forward, picked up the distraught child, and threw him into the burning flames of a house. The screaming stopped. Somehow, through the tears and choking smoke, Rohima managed to slip away and into the jungle. Her four-year-old and unborn child were safe. But Rohima’s world was shattered. -
One of life’s greatest misconceptions is a simple fable. That time is a healer. One year ago this month “ethnic cleansing” perpetrated by the Myanmar military against the Rohingya sparked a massive refugee crisis. Nearly a million Rohingya – those who escaped the flames and executions – are now living in camps in Bangladesh. Many of them were raped, most saw loved ones killed, thousands arrived wounded. All are traumatized. Here, in this impoverished monsoon soaked corner of Bangladesh, is one of the most densely populated areas of PTSD affected and depressed people on earth.
-
#inmyworld  is designed to expose the challenges faced by people living with #mentalhealth  issues and give them the chance to be seen, heard and valued. @witness_change is a nonprofit that aims to improve life for excluded groups by amplifying their stories. This work was made in collaboration with Médecins Sans Frontières @doctorswithoutborders who provide mental health support to the refugees and local population. To see more or to share your own mental health story please follow @onedayinmyworld",1
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
